ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
1041,28.91.00,Fabbricazione di macchine per la metallurgia,Manufacture of machinery for metallurgy,"Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen",6,28.91.0,5
1042,28.92,"Fabbricazione di macchine da miniera, cava e cantiere","Manufacture of machinery for mining, quarrying and construction","Herstellung von Bergwerks-, Bau- und Baustoffmaschinen",4,28.9,3
1043,28.92.0,"Fabbricazione di macchine da miniera, cava e cantiere","Manufacture of machinery for mining, quarrying and construction","Herstellung von Bergwerks-, Bau- und Baustoffmaschinen",5,28.92,4
1044,28.92.00,"Fabbricazione di macchine da miniera, cava e cantiere","Manufacture of machinery for mining, quarrying and construction","Herstellung von Bergwerks-, Bau- und Baustoffmaschinen",6,28.92.0,5
1045,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco","Manufacture of machinery for food, beverage and tobacco processing",Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung,4,28.9,3
1046,28.93.0,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco","Manufacture of machinery for food, beverage and tobacco processing",Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung,5,28.93,4
1047,28.93.00,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco","Manufacture of machinery for food, beverage and tobacco processing",Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung,6,28.93.0,5
1048,28.94,"Fabbricazione di macchine per l'industria tessile, dell'abbigliamento e del cuoio","Manufacture of machinery for textile, apparel and leather production",Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung,4,28.9,3
1049,28.94.1,Fabbricazione di macchine tessili,Manufacture of textile machinery,Herstellung von Textilmaschinen,5,28.94,4
1050,28.94.10,Fabbricazione di macchine tessili,Manufacture of textile machinery,Herstellung von Textilmaschinen,6,28.94.1,5
1051,28.94.2,Fabbricazione di macchine per la lavorazione delle pelli e del cuoio,Manufacture of leather machinery,Herstellung von Maschinen und Geräten für die Fell- und Lederverarbeitung,5,28.94,4
1052,28.94.20,Fabbricazione di macchine per la lavorazione delle pelli e del cuoio,Manufacture of leather machinery,Herstellung von Maschinen und Geräten für die Fell- und Lederverarbeitung,6,28.94.2,5
1053,28.94.3,Fabbricazione di macchine per lavanderie e stirerie,Manufacture of laundry machinery,Herstellung von Maschinen für Wäschereien und Büglereien,5,28.94,4
1054,28.94.30,Fabbricazione di macchine per lavanderie e stirerie,Manufacture of laundry machinery,Herstellung von Maschinen für Wäschereien und Büglereien,6,28.94.3,5
1055,28.95,Fabbricazione di macchine per l'industria della carta e del cartone,Manufacture of machinery for paper and paperboard production,Herstellung von Maschinen für die Papiererzeugung und -verarbeitung,4,28.9,3
1056,28.95.0,Fabbricazione di macchine per l'industria della carta e del cartone,Manufacture of machinery for paper and paperboard production,Herstellung von Maschinen für die Papiererzeugung und -verarbeitung,5,28.95,4
1057,28.95.00,Fabbricazione di macchine per l'industria della carta e del cartone,Manufacture of machinery for paper and paperboard production,Herstellung von Maschinen für die Papiererzeugung und -verarbeitung,6,28.95.0,5
1058,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,Manufacture of plastics and rubber machinery,Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk,4,28.9,3
1059,28.96.0,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,Manufacture of plastics and rubber machinery,Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk,5,28.96,4
1060,28.96.00,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,Manufacture of plastics and rubber machinery,Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk,6,28.96.0,5
1061,28.97,Fabbricazione di macchine per la produzione additiva,Manufacture of additive manufacturing machinery,Herstellung von Maschinen für die additive Fertigung,4,28.9,3
1062,28.97.0,Fabbricazione di macchine per la produzione additiva,Manufacture of additive manufacturing machinery,Herstellung von Maschinen für die additive Fertigung,5,28.97,4
1063,28.97.01,Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici,Manufacture of additive manufacturing machinery by metal deposit,Herstellung von Maschinen für die additive Fertigung für die Metallabscheidung,6,28.97.0,5
1064,28.97.02,Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma,Manufacture of additive manufacturing machinery by plastics or rubber deposit,Herstellung von Maschinen für die additive Fertigung für die Kunststoff- oder Gummiabscheidung,6,28.97.0,5
1065,28.97.09,Fabbricazione di macchine per la produzione additiva n.c.a.,Manufacture of additive manufacturing machinery n.e.c.,Herstellung von Maschinen für die additive Fertigung a. n. g.,6,28.97.0,5
1066,28.99,Fabbricazione di altre macchine per impieghi speciali n.c.a.,Manufacture of other special-purpose machinery n.e.c.,Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.,4,28.9,3
1067,28.99.1,Fabbricazione di macchine per la stampa e la legatoria,Manufacture of printing and bookbinding machines,Herstellung von Maschinen für Drucktätigkeiten und Binden von Druckerzeugnissen,5,28.99,4
1068,28.99.10,Fabbricazione di macchine per la stampa e la legatoria,Manufacture of printing and bookbinding machines,Herstellung von Maschinen für Drucktätigkeiten und Binden von Druckerzeugnissen,6,28.99.1,5
1069,28.99.2,Fabbricazione di robot industriali con compiti multipli per scopi speciali,Manufacture of industrial robots for multiple uses,Herstellung von Mehrzweck-Industrierobotern für besondere Verwendungszwecke,5,28.99,4
1070,28.99.20,Fabbricazione di robot industriali con compiti multipli per scopi speciali,Manufacture of industrial robots for multiple uses,Herstellung von Mehrzweck-Industrierobotern für besondere Verwendungszwecke,6,28.99.2,5
1071,28.99.9,Fabbricazione di altre macchine varie per impieghi speciali n.c.a.,Manufacture of other various special-purpose machinery n.e.c.,Herstellung von anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.,5,28.99,4
1072,28.99.91,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e relative attrezzature","Manufacture of aircraft launching gear, aircraft carrier catapults and related equipment","Herstellung von Vorrichtungen für den Start von Luftfahrzeugen, Katapulten für Flugzeugträger und entsprechenden Ausrüstungen",6,28.99.9,5
1073,28.99.92,"Fabbricazione di giostre, altalene e altre attrazioni di divertimento","Manufacture of roundabouts, swings and other fairground amusements","Herstellung von Karussellen, Luftschaukeln und anderen Attraktionen für Vergnügungsparks",6,28.99.9,5
1074,28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature per il bilanciamento,Manufacture of tyre alignment and balancing equipment and other balancing equipment,Herstellung von Maschinen zur Spureinstellung und Auswuchtung der Reifen und anderen Maschinen zur Auswuchtung der Reifen,6,28.99.9,5
1075,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,Manufacture of all other various special-purpose machinery n.e.c.,Herstellung von allen anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.,6,28.99.9,5
1076,29,"Fabbricazione di autoveicoli, rimorchi e semirimorchi","Manufacture of motor vehicles, trailers and semi-trailers",Herstellung von Kraftwagen und Kraftwagenteilen,2,C,1
1077,29.1,Fabbricazione di autoveicoli,Manufacture of motor vehicles,Herstellung von Kraftwagen und Kraftwagenmotoren,3,29,2
1078,29.10,Fabbricazione di autoveicoli,Manufacture of motor vehicles,Herstellung von Kraftwagen und Kraftwagenmotoren,4,29.1,3
1079,29.10.0,Fabbricazione di autoveicoli,Manufacture of motor vehicles,Herstellung von Kraftwagen und Kraftwagenmotoren,5,29.10,4
1080,29.10.00,Fabbricazione di autoveicoli,Manufacture of motor vehicles,Herstellung von Kraftwagen und Kraftwagenmotoren,6,29.10.0,5
1081,29.2,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers,"Herstellung von Karosserien, Aufbauten und Anhängern",3,29,2
1082,29.20,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers,"Herstellung von Karosserien, Aufbauten und Anhängern",4,29.2,3
1083,29.20.0,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers,"Herstellung von Karosserien, Aufbauten und Anhängern",5,29.20,4
1084,29.20.00,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers,"Herstellung von Karosserien, Aufbauten und Anhängern",6,29.20.0,5
1085,29.3,Fabbricazione di parti e accessori per autoveicoli,Manufacture of motor vehicle parts and accessories,Herstellung von Teilen und Zubehör für Kraftwagen,3,29,2
1086,29.31,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli,Manufacture of electrical and electronic equipment for motor vehicles,Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen,4,29.3,3
1087,29.31.0,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli,Manufacture of electrical and electronic equipment for motor vehicles,Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen,5,29.31,4
1088,29.31.00,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli,Manufacture of electrical and electronic equipment for motor vehicles,Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen,6,29.31.0,5
1089,29.32,Fabbricazione di altre parti e accessori per autoveicoli,Manufacture of other parts and accessories for motor vehicles,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen,4,29.3,3
1090,29.32.0,Fabbricazione di altre parti e accessori per autoveicoli,Manufacture of other parts and accessories for motor vehicles,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen,5,29.32,4
1091,29.32.00,Fabbricazione di altre parti e accessori per autoveicoli,Manufacture of other parts and accessories for motor vehicles,Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen,6,29.32.0,5
1092,30,Fabbricazione di altri mezzi di trasporto,Manufacture of other transport equipment,Sonstiger Fahrzeugbau,2,C,1
1093,30.1,Costruzione di navi e imbarcazioni,Building of ships and boats,Schiff- und Bootsbau,3,30,2
1094,30.11,Costruzione di navi e di strutture galleggianti per scopi civili,Building of civilian ships and floating structures,"Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau",4,30.1,3
1095,30.11.0,Costruzione di navi e di strutture galleggianti per scopi civili,Building of civilian ships and floating structures,"Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau",5,30.11,4
1096,30.11.00,Costruzione di navi e di strutture galleggianti per scopi civili,Building of civilian ships and floating structures,"Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau",6,30.11.0,5
1097,30.12,Costruzione di imbarcazioni da diporto e sportive,Building of pleasure and sporting boats,Boots- und Yachtbau,4,30.1,3
1098,30.12.0,Costruzione di imbarcazioni da diporto e sportive,Building of pleasure and sporting boats,Boots- und Yachtbau,5,30.12,4
1099,30.12.00,Costruzione di imbarcazioni da diporto e sportive,Building of pleasure and sporting boats,Boots- und Yachtbau,6,30.12.0,5
1100,30.13,Costruzione di navi e imbarcazioni per scopi militari,Building of military ships and vessels,Bau von Kriegsschiffen,4,30.1,3
1101,30.13.0,Costruzione di navi e imbarcazioni per scopi militari,Building of military ships and vessels,Bau von Kriegsschiffen,5,30.13,4
1102,30.13.00,Costruzione di navi e imbarcazioni per scopi militari,Building of military ships and vessels,Bau von Kriegsschiffen,6,30.13.0,5
1103,30.2,Costruzione di locomotive e di materiale rotabile ferro-tranviario,Manufacture of railway locomotives and rolling stock,Schienenfahrzeugbau,3,30,2
1104,30.20,Costruzione di locomotive e di materiale rotabile ferro-tranviario,Manufacture of railway locomotives and rolling stock,Schienenfahrzeugbau,4,30.2,3
1105,30.20.0,Costruzione di locomotive e di materiale rotabile ferro-tranviario,Manufacture of railway locomotives and rolling stock,Schienenfahrzeugbau,5,30.20,4
1106,30.20.00,Costruzione di locomotive e di materiale rotabile ferro-tranviario,Manufacture of railway locomotives and rolling stock,Schienenfahrzeugbau,6,30.20.0,5
1107,30.3,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti",Manufacture of air and spacecraft and related machinery,Luft- und Raumfahrzeugbau,3,30,2
1108,30.31,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili",Manufacture of civilian air and spacecraft and related machinery,Luft- und Raumfahrzeugbau für zivile Zwecke,4,30.3,3
